age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M610,RSPagl,M610_s018_RSPagl.tif,9109156,1856400,1216800
adult,M610,RSPagl,M610_s019_RSPagl.tif,18994473,1079540,833060
adult,M610,RSPagl,M610_s020_RSPagl.tif,4459864,1124800,818000
adult,M610,RSPd,M610_s001_RSPd.tif,15582417,2527140,1524560
adult,M610,RSPd,M610_s002_RSPd.tif,16306709,2558400,1574400
adult,M610,RSPd,M610_s003_RSPd.tif,23332679,2420640,1532060
adult,M610,RSPd,M610_s004_RSPd.tif,27990291,2521400,1488620
adult,M610,RSPd,M610_s005_RSPd.tif,41185152,2249600,1422000
adult,M610,RSPd,M610_s007_RSPd.tif,16448249,2783880,1653380
adult,M610,RSPd,M610_s008_RSPd.tif,28504330,2308260,1325840
adult,M610,RSPd,M610_s009_RSPd.tif,30682827,3068620,1791020
adult,M610,RSPd,M610_s010_RSPd.tif,29206522,3038260,1697440
adult,M610,RSPd,M610_s011_RSPd.tif,26040388,2896740,1741800
adult,M610,RSPd,M610_s012_RSPd.tif,26554798,2890800,1734800
adult,M610,RSPd,M610_s013_RSPd.tif,17269680,3181500,1876660
adult,M610,RSPd,M610_s014_RSPd.tif,16077413,2804340,1586540
adult,M610,RSPd,M610_s016_RSPd.tif,29430132,2529600,1526000
adult,M610,RSPd,M610_s017_RSPd.tif,28799349,3015060,1883440
adult,M610,RSPd,M610_s018_RSPd.tif,18666286,3554060,2163440
adult,M610,RSPd,M610_s019_RSPd.tif,40882223,2363040,1530520
adult,M610,RSPd,M610_s020_RSPd.tif,10069104,2476800,1488400
adult,M610,RSPd,M610_s021_RSPd.tif,12570907,2945600,1652760
adult,M610,RSPv,M610_s009_RSPv.tif,21797997,2881600,1711520
adult,M610,RSPv,M610_s010_RSPv.tif,25365785,2581500,1583780
adult,M610,RSPv,M610_s011_RSPv.tif,24313145,2714400,1670000
adult,M610,RSPv,M610_s013_RSPv.tif,14607145,2849600,1725820
adult,M610,RSPv,M610_s014_RSPv.tif,12311880,2591260,1555740
adult,M610,RSPv,M610_s017_RSPv.tif,16640084,2251200,1306800
adult,M610,VISa,M610_s001_VISa.tif,1716003,435600,216000
adult,M610,VISa,M610_s002_VISa.tif,23673813,4162960,2181220
adult,M610,VISa,M610_s003_VISa.tif,31510679,4326160,2354840
adult,M610,VISa,M610_s004_VISa.tif,55157649,4190160,2549460
adult,M610,VISa,M610_s005_VISa.tif,65374203,4929600,3177440
adult,M610,VISa,M610_s006_VISa.tif,16453117,2504800,1094800
adult,M610,VISa,M610_s007_VISa.tif,15808745,3176460,1558560
adult,M610,VISa,M610_s008_VISa.tif,45397071,3378140,1767160
adult,M610,VISa,M610_s009_VISa.tif,35887194,3893400,2105080
adult,M610,VISa,M610_s010_VISa.tif,50230524,5540120,3493740
adult,M610,VISa,M610_s011_VISa.tif,40656054,5753020,3471720
adult,M610,VISa,M610_s012_VISa.tif,50684699,5054420,3475120
adult,M610,VISa,M610_s013_VISa.tif,28845328,5955840,3544440
adult,M610,VISa,M610_s016_VISa.tif,23556889,2184000,977600
adult,M610,VISa,M610_s017_VISa.tif,53885022,4700980,3114500
adult,M610,VISal,M610_s015_VISal.tif,4779121,1693600,686800
adult,M610,VISal,M610_s021_VISal.tif,4194244,1281000,637560
adult,M610,VISal,M610_s030_VISal.tif,2886975,2654400,1046800
adult,M610,VISal,M610_s031_VISal.tif,2387431,2458280,1181284
adult,M610,VISal,M610_s032_VISal.tif,3590073,2465540,1179380
adult,M610,VISal,M610_s035_VISal.tif,2738938,1664000,751200
adult,M610,VISam,M610_s014_VISam.tif,5616516,967020,545000
adult,M610,VISam,M610_s017_VISam.tif,21538255,1843200,1329600
adult,M610,VISam,M610_s018_VISam.tif,12046728,2381700,1528240
adult,M610,VISam,M610_s019_VISam.tif,20777482,1422000,963200
adult,M610,VISam,M610_s020_VISam.tif,7935069,2328800,1356400
adult,M610,VISam,M610_s021_VISam.tif,6652743,1160580,921160
adult,M610,VISl,M610_s033_VISl.tif,3855490,2184000,1207200
adult,M610,VISl,M610_s034_VISl.tif,3967307,2870400,1402800
adult,M610,VISl,M610_s036_VISl.tif,3171813,2584000,1033600
adult,M610,VISl,M610_s037_VISl.tif,5503155,2366660,1056080
adult,M610,VISl,M610_s038_VISl.tif,6441821,3140060,1559800
adult,M610,VISl,M610_s039_VISl.tif,2329898,2371500,984512
adult,M610,VISl,M610_s040_VISl.tif,4129248,2980800,1602400
adult,M610,VISl,M610_s041_VISl.tif,14567499,2958480,1544900
