age,identifier,region,image_filename,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M609,VISli,M609_s053_VISli.tif,45009364,1178917.6140262375,636000,355600
adult,M609,VISp,M609_s007_VISp.tif,32270059,1913710.2876373506,4696260,3844320
adult,M609,VISp,M609_s008_VISp.tif,30438451,2043583.7149197864,5679480,3976480
adult,M609,VISp,M609_s009_VISp.tif,98531910,2422288.9735741974,6425800,4572920
adult,M609,VISp,M609_s010_VISp.tif,46270182,4122446.223817084,7356840,5085515
adult,M609,VISp,M609_s011_VISp.tif,141619697,11904048.783743486,9284100,6793820
adult,M609,VISp,M609_s012_VISp.tif,80041199,5276254.527775545,9500440,6468660
adult,M609,VISp,M609_s013_VISp.tif,116579353,10294653.494957358,8811560,5384820
adult,M609,VISp,M609_s014_VISp.tif,121844917,10092993.532734897,9422420,6552040
adult,M609,VISp,M609_s015_VISp.tif,55293172,1190226.3652823004,4081700,2867580
adult,M609,VISp,M609_s017_VISp.tif,77435069,6900957.50569228,8547120,5968760
adult,M609,VISp,M609_s018_VISp.tif,43986679,3461492.474422478,7332120,4619220
adult,M609,VISp,M609_s019_VISp.tif,124965953,9362189.30135423,8896560,4647520
adult,M609,VISp,M609_s020_VISp.tif,119797223,9109509.752113577,10301680,5684860
adult,M609,VISp,M609_s021_VISp.tif,100057882,7353053.884304032,10534680,6056780
adult,M609,VISp,M609_s022_VISp.tif,128674029,10384709.586727494,9297640,5614320
adult,M609,VISp,M609_s023_VISp.tif,115512383,9110779.339512011,10873200,5618640
adult,M609,VISp,M609_s024_VISp.tif,84305667,6654258.948556578,9465120,5869920
adult,M609,VISp,M609_s025_VISp.tif,96058168,8102534.338127475,11193840,5942780
adult,M609,VISp,M609_s026_VISp.tif,114384839,9917383.628955506,11861920,6295580
adult,M609,VISp,M609_s027_VISp.tif,72509762,3549260.3294350742,11644320,5863420
adult,M609,VISp,M609_s028_VISp.tif,81121388,6005865.746313651,13157480,6723200
adult,M609,VISp,M609_s029_VISp.tif,89573491,7830617.8913063165,10870200,6454480
adult,M609,VISp,M609_s030_VISp.tif,101336706,8146025.904212726,13213200,6672540
adult,M609,VISp,M609_s031_VISp.tif,82674429,5876019.584649809,14585340,7834284
adult,M609,VISp,M609_s032_VISp.tif,56676452,4393527.729721431,14402880,7197960
adult,M609,VISp,M609_s033_VISp.tif,66113413,5620972.393506617,11163820,5592220
adult,M609,VISp,M609_s034_VISp.tif,91912136,3891879.999635694,19282720,7276960
adult,M609,VISp,M609_s035_VISp.tif,76999370,3463221.6858221446,11584680,5486180
adult,M609,VISp,M609_s036_VISp.tif,189171298,4532459.25708428,11066860,5160720
adult,M609,VISp,M609_s037_VISp.tif,402239542,9549930.723620316,13175000,5521460
adult,M609,VISp,M609_s038_VISp.tif,151493274,3283907.0053791576,14290360,6034020
adult,M609,VISp,M609_s039_VISp.tif,112993682,4112483.4317695554,11557080,5577880
adult,M609,VISp,M609_s040_VISp.tif,170060138,3390771.38759964,7815580,3686260
adult,M609,VISp,M609_s041_VISp.tif,636478794,13504651.285872726,16624300,6697540
adult,M609,VISp,M609_s042_VISp.tif,463943989,10214636.749966031,9507520,4392600
adult,M609,VISp,M609_s043_VISp.tif,69217900,2609639.1190050365,10789160,5763280
adult,M609,VISp,M609_s044_VISp.tif,139501590,3482415.5188546623,14339900,5887640
adult,M609,VISp,M609_s045_VISp.tif,74701291,1974771.3251642252,10548480,4488820
adult,M609,VISp,M609_s046_VISp.tif,123584744,3791306.54748125,7860060,4116060
adult,M609,VISp,M609_s047_VISp.tif,286531842,7808052.066149069,12262800,4771060
adult,M609,VISp,M609_s048_VISp.tif,339579771,8165473.773549756,10713600,6242800
adult,M609,VISp,M609_s049_VISp.tif,351527021,8205467.7232066505,8468817,3761198
