age,identifier,region,image_filename,raw_intensity_sum,masked_median_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M609,VISp,M609_s028_VISp.tif,81121388,7472794.0,13157480,6723200
adult,M609,VISp,M609_s029_VISp.tif,89573491,9868087.0,10870200,6454480
adult,M609,VISp,M609_s030_VISp.tif,101336706,9839452.0,13213200,6672540
adult,M609,VISp,M609_s031_VISp.tif,82674429,6903205.0,14585340,7834284
adult,M609,VISp,M609_s032_VISp.tif,56676452,5386704.0,14402880,7197960
adult,M609,VISp,M609_s033_VISp.tif,66113413,7028759.0,11163820,5592220
adult,M609,VISp,M609_s034_VISp.tif,91912136,4391822.0,19282720,7276960
adult,M609,VISp,M609_s035_VISp.tif,76999370,4114316.0,11584680,5486180
adult,M609,VISp,M609_s036_VISp.tif,189171298,4285486.0,11066860,5160720
adult,M609,VISp,M609_s037_VISp.tif,402239542,8145680.0,13175000,5521460
adult,M609,VISp,M609_s038_VISp.tif,151493274,2617679.0,14290360,6034020
adult,M609,VISp,M609_s039_VISp.tif,112993682,4560739.0,11557080,5577880
adult,M609,VISp,M609_s040_VISp.tif,170060138,3455388.0,7815580,3686260
adult,M609,VISp,M609_s041_VISp.tif,636478794,12771655.0,16624300,6697540
adult,M609,VISp,M609_s042_VISp.tif,463943989,9503075.0,9507520,4392600
adult,M609,VISp,M609_s043_VISp.tif,69217900,2707206.0,10789160,5763280
adult,M609,VISp,M609_s044_VISp.tif,139501590,2931124.0,14339900,5887640
adult,M609,VISp,M609_s045_VISp.tif,74701291,1559716.0,10548480,4488820
adult,M609,VISp,M609_s046_VISp.tif,123584744,3401236.0,7860060,4116060
adult,M609,VISp,M609_s047_VISp.tif,286531842,6447363.0,12262800,4771060
adult,M609,VISp,M609_s048_VISp.tif,339579771,7466125.0,10713600,6242800
adult,M609,VISp,M609_s049_VISp.tif,351527021,7500749.0,8468817,3761198
adult,M609,VISp,M609_s050_VISp.tif,126569467,4035738.0,13821120,6595140
adult,M609,VISp,M609_s051_VISp.tif,325123650,7781044.0,9020440,3593700
adult,M609,VISp,M609_s052_VISp.tif,366739857,6756007.0,8882640,4325760
adult,M609,VISp,M609_s053_VISp.tif,429504569,8101957.0,7925280,3987560
adult,M609,VISp,M609_s055_VISp.tif,306969483,8187876.0,8187762,3576121
adult,M609,VISp,M609_s056_VISp.tif,307878965,5843303.0,5928342,2754642
adult,M609,VISp,M609_s057_VISp.tif,349682579,6385040.0,6302662,2899340
adult,M609,VISp,M609_s058_VISp.tif,301833456,5633047.0,6302621,2518141
adult,M609,VISpm,M609_s010_VISpm.tif,4271358,125267.0,2557940,999043
adult,M609,VISpm,M609_s011_VISpm.tif,2089367,117570.0,1036000,579200
adult,M609,VISpm,M609_s012_VISpm.tif,9265634,146845.0,1483620,1057680
adult,M609,VISpm,M609_s013_VISpm.tif,8992336,199149.0,1976000,1356800
adult,M609,VISpm,M609_s020_VISpm.tif,3469118,65423.0,1278400,726000
adult,M609,VISrl,M609_s001_VISrl.tif,22647287,335941.0,1902240,715180
adult,M609,VISrl,M609_s007_VISrl.tif,7519047,167355.0,2308460,1053540
adult,M610,RSPagl,M610_s001_RSPagl.tif,7262886,158527.0,1187160,910840
adult,M610,RSPagl,M610_s002_RSPagl.tif,8860909,218838.0,1279200,952000
adult,M610,RSPagl,M610_s003_RSPagl.tif,12559963,269394.0,1111060,854060
adult,M610,RSPagl,M610_s004_RSPagl.tif,15732142,294086.0,1192800,832800
adult,M610,RSPagl,M610_s005_RSPagl.tif,19982463,379074.0,1092000,810800
adult,M610,RSPagl,M610_s006_RSPagl.tif,15382005,325030.0,1793600,1093480
adult,M610,RSPagl,M610_s007_RSPagl.tif,9813595,220445.0,1654020,1099580
adult,M610,RSPagl,M610_s008_RSPagl.tif,20220038,345575.0,1184000,868000
adult,M610,RSPagl,M610_s009_RSPagl.tif,19973606,379746.0,1663200,1088000
adult,M610,RSPagl,M610_s010_RSPagl.tif,15177620,319581.0,1643200,1064400
adult,M610,RSPagl,M610_s011_RSPagl.tif,12532469,287030.0,1279200,988400
adult,M610,RSPagl,M610_s012_RSPagl.tif,13442628,211740.0,1170000,888400
adult,M610,RSPagl,M610_s013_RSPagl.tif,8866978,207453.0,1652400,1106800
adult,M610,RSPagl,M610_s014_RSPagl.tif,8332496,189736.0,1312000,893200
adult,M610,RSPagl,M610_s016_RSPagl.tif,18223498,292828.0,1263260,961480
adult,M610,RSPagl,M610_s017_RSPagl.tif,13943036,280632.0,1065600,917200
adult,M610,RSPagl,M610_s018_RSPagl.tif,9109156,193900.0,1856400,1216800
adult,M610,RSPagl,M610_s019_RSPagl.tif,18994473,384589.0,1079540,833060
adult,M610,RSPagl,M610_s020_RSPagl.tif,4459864,112043.0,1124800,818000
adult,M610,RSPd,M610_s001_RSPd.tif,15582417,336911.0,2527140,1524560
adult,M610,RSPd,M610_s002_RSPd.tif,16306709,355392.0,2558400,1574400
adult,M610,RSPd,M610_s003_RSPd.tif,23332679,499339.0,2420640,1532060
adult,M610,RSPd,M610_s004_RSPd.tif,27990291,521360.0,2521400,1488620
adult,M610,RSPd,M610_s005_RSPd.tif,41185152,859117.0,2249600,1422000
adult,M610,RSPd,M610_s007_RSPd.tif,16448249,355661.0,2783880,1653380
adult,M610,RSPd,M610_s008_RSPd.tif,28504330,549487.0,2308260,1325840
