age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
adult,M609,VISam,M609_s007_VISam.tif,15086132,4996344.493488511,2558400,1886200
adult,M609,VISam,M609_s008_VISam.tif,8364257,2547053.6080503887,2268000,1129600
adult,M609,VISam,M609_s009_VISam.tif,21929970,6386575.614664366,1672000,1024000
adult,M609,VISam,M609_s015_VISam.tif,36740204,12383900.392821787,2851500,1955040
adult,M609,VISl,M609_s019_VISl.tif,4523449,1575250.5336000302,2007920,1080460
adult,M609,VISl,M609_s020_VISl.tif,8943651,2910428.5326913646,3366000,1830400
adult,M609,VISl,M609_s021_VISl.tif,7603100,2425071.041007552,3040000,1632400
adult,M609,VISl,M609_s027_VISl.tif,16796294,5098671.388636949,3061700,1518020
adult,M609,VISl,M609_s028_VISl.tif,16367415,5467372.820047048,4249800,2065940
adult,M609,VISl,M609_s029_VISl.tif,8995947,3022336.863443026,3163120,1596960
adult,M609,VISl,M609_s031_VISl.tif,10894486,3460237.102615214,3904840,1906556
adult,M609,VISl,M609_s032_VISl.tif,9907396,3204334.045387581,3540780,1782860
adult,M609,VISl,M609_s033_VISl.tif,13466778,4642190.318711253,3457800,1754540
adult,M609,VISl,M609_s034_VISl.tif,15265945,4757384.972828221,2455580,1197280
adult,M609,VISl,M609_s035_VISl.tif,21986001,7021791.773269983,2887300,1429860
adult,M609,VISl,M609_s036_VISl.tif,67254117,20634029.09334027,3616000,1738400
adult,M609,VISl,M609_s037_VISl.tif,79354177,24429146.25843869,2545400,1194520
adult,M609,VISl,M609_s038_VISl.tif,34910546,10590751.528920129,2862860,1307100
adult,M609,VISl,M609_s039_VISl.tif,29295082,9444050.253762916,2869020,1425120
adult,M609,VISl,M609_s040_VISl.tif,42232399,13244602.877095995,2341080,1094920
adult,M609,VISl,M609_s043_VISl.tif,15416071,4831672.851835926,3149640,1614740
adult,M609,VISl,M609_s046_VISl.tif,40097927,12243344.773717454,2395980,1214840
