age,identifier,region,image_count,raw_intensity_sum,masked_mean_intensity_sum,total_image_pixels,tissue_area_pixels
p60,M773,VISpm,12,100903946,3401284.3052545106,9962900,4803280
p60,M773,VISpor,7,204458026,8892680.298168726,19002816,9756098
p60,M773,VISrl,9,182539344,7058711.840721757,19056000,8660000
p60,M776,RSPagl,27,477802078,17772430.62376495,52375636,21118720
p60,M776,RSPd,27,875294920,32245664.221148442,87814246,37953959
p60,M776,RSPv,23,908209416,25208851.738741644,78375240,42587180
p60,M776,VISa,8,269331624,9331126.860959964,23393900,11803940
p60,M776,VISal,4,108674768,9586707.096369235,7875180,3934240
p60,M776,VISam,7,157820957,8677689.492232388,10704680,5868740
p60,M776,VISl,14,351836941,19644324.850968547,29215779,14937300
p60,M776,VISli,10,156442214,13258753.680159507,13765520,5839200
p60,M776,VISp,21,2177464309,96565023.47250098,160840361,80391698
p60,M776,VISpl,4,79596419,1325721.5596964876,9714099,2731100
p60,M776,VISpm,13,144893938,3557710.0530962804,10480160,6366560
p60,M776,VISpor,8,194610029,7153302.011720291,17854019,9205439
p60,M776,VISrl,8,252058725,14113295.984329842,18337420,9150420
