age,identifier,region,image_filename,raw_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M678,VISpm,M678_s070_VISpm.tif,61178961,2873140,2306960
p12,M678,VISpm,M678_s071_VISpm.tif,63405896,2396100,1384160
p12,M678,VISpm,M678_s072_VISpm.tif,40494396,2162400,1053200
p12,M678,VISpm,M678_s074_VISpm.tif,51161354,3091140,1465840
p12,M678,VISpm,M678_s075_VISpm.tif,19183520,2398000,1124400
p12,M678,VISpm,M678_s076_VISpm.tif,36570567,2597660,1107200
p12,M678,VISpm,M678_s077_VISpm.tif,61942661,1977600,1333200
p12,M678,VISpm,M678_s078_VISpm.tif,22629228,1574400,1116000
p12,M678,VISpm,M678_s079_VISpm.tif,21663412,1655080,1058240
p12,M678,VISpm,M678_s080_VISpm.tif,18161922,1408000,840400
p12,M678,VISpm,M678_s082_VISpm.tif,12107994,1162000,746000
p12,M678,VISpm,M678_s083_VISpm.tif,36347165,1508800,696800
p12,M678,VISpm,M678_s084_VISpm.tif,12922609,816000,455200
p12,M678,VISpm,M678_s085_VISpm.tif,6057939,678640,366980
p12,M678,VISpm,M678_s086_VISpm.tif,53647948,1362860,812640
p12,M678,VISpor,M678_s083_VISpor.tif,827653,88000,38800
p12,M678,VISpor,M678_s084_VISpor.tif,8216043,1358300,635080
p12,M678,VISpor,M678_s085_VISpor.tif,23269842,2901580,1253140
p12,M678,VISrl,M678_s060_VISrl.tif,14631,400,400
p12,M678,VISrl,M678_s061_VISrl.tif,11999737,1467960,412420
p12,M678,VISrl,M678_s062_VISrl.tif,35157027,3387440,1490260
p12,M678,VISrl,M678_s063_VISrl.tif,60793090,3608240,1912680
