age,identifier,region,image_filename,raw_intensity_sum,dist_weighted_intensity_sum,total_image_pixels,tissue_area_pixels
p12,M678,RSPd,M678_s084_RSPd.tif,77172020,25734230.698634803,7614920,2109580
p12,M678,RSPd,M678_s085_RSPd.tif,28738987,10173823.942604808,6508080,1663760
p12,M678,RSPd,M678_s086_RSPd.tif,78302281,26308617.14150345,3579320,1144880
p12,M678,RSPv,M678_s057_RSPv.tif,95908400,32157502.011202235,4513600,2852800
p12,M678,RSPv,M678_s058_RSPv.tif,93965913,30220924.19660115,3389520,2245160
p12,M678,RSPv,M678_s059_RSPv.tif,102570829,35543098.766559444,4152260,2570240
p12,M678,RSPv,M678_s060_RSPv.tif,76456170,26970539.028263576,4605940,2803920
p12,M678,RSPv,M678_s061_RSPv.tif,75616850,25360565.825976852,4401600,2863600
p12,M678,RSPv,M678_s062_RSPv.tif,107823442,37618592.95311409,4237080,2785540
p12,M678,RSPv,M678_s063_RSPv.tif,58217603,20307982.12855257,3465420,2210240
p12,M678,RSPv,M678_s064_RSPv.tif,70664656,25111129.940834153,3640800,2370400
p12,M678,RSPv,M678_s065_RSPv.tif,89359932,30854839.64660364,4051179,2591379
p12,M678,RSPv,M678_s066_RSPv.tif,71513249,24391584.018817235,4302500,2675300
p12,M678,RSPv,M678_s068_RSPv.tif,112519358,38077933.34813774,5547080,3505720
p12,M678,RSPv,M678_s069_RSPv.tif,158272230,53680459.55453259,6410880,4201780
p12,M678,RSPv,M678_s070_RSPv.tif,98425937,33286167.58168493,7726859,5141059
p12,M678,RSPv,M678_s071_RSPv.tif,146324355,48969430.99482647,7364659,5179939
p12,M678,RSPv,M678_s072_RSPv.tif,170729809,59505238.330228604,8199319,5099619
p12,M678,RSPv,M678_s074_RSPv.tif,106769613,36196212.06255502,9659958,5467080
p12,M678,RSPv,M678_s075_RSPv.tif,94068908,32893451.567307103,9306479,5319400
p12,M678,RSPv,M678_s076_RSPv.tif,134151476,46100253.58942032,8673259,4780139
p12,M678,RSPv,M678_s077_RSPv.tif,121837133,40860295.82194485,6980281,4172301
p12,M678,RSPv,M678_s078_RSPv.tif,52635302,17563701.645420108,5522000,3052860
p12,M678,RSPv,M678_s079_RSPv.tif,53349447,16982806.230279878,6485339,3175839
p12,M678,RSPv,M678_s080_RSPv.tif,47916904,14788005.504088463,5000840,2298840
p12,M678,RSPv,M678_s082_RSPv.tif,27040945,9137680.110432707,7283439,2286080
p12,M678,RSPv,M678_s083_RSPv.tif,47043524,14751043.72076657,4310820,1881060
p12,M678,RSPv,M678_s084_RSPv.tif,79031888,23877050.401194375,6639880,2643860
p12,M678,RSPv,M678_s085_RSPv.tif,15814337,5534264.832616615,4966040,1070520
p12,M678,RSPv,M678_s086_RSPv.tif,93168846,28920266.94144619,5217320,2190140
p12,M678,VISa,M678_s057_VISa.tif,36999288,11963499.489003312,2784000,2017200
p12,M678,VISa,M678_s058_VISa.tif,105772212,33671004.914798066,4738360,3148780
p12,M678,VISa,M678_s059_VISa.tif,62252119,22016847.967510495,4381440,2911080
p12,M678,VISa,M678_s060_VISa.tif,33151795,11003447.701495405,3457800,2214820
p12,M678,VISa,M678_s061_VISa.tif,74566784,24263901.58216018,4955520,3446460
p12,M678,VISa,M678_s065_VISa.tif,605764,239511.84303432572,108000,36000
p12,M678,VISa,M678_s066_VISa.tif,223158,86272.04564396522,16000,9600
p12,M678,VISal,M678_s067_VISal.tif,134594,56702.290229273276,24000,3200
p12,M678,VISal,M678_s068_VISal.tif,34859608,11283710.158884836,2605860,1064400
p12,M678,VISal,M678_s069_VISal.tif,67019231,21128819.62496949,2997120,1443480
p12,M678,VISal,M678_s070_VISal.tif,43302925,13572777.00355816,3073920,1565220
p12,M678,VISal,M678_s071_VISal.tif,69217908,22438561.07017786,3967200,2099200
p12,M678,VISal,M678_s072_VISal.tif,60963783,20131326.891927022,3598620,1809320
p12,M678,VISal,M678_s074_VISal.tif,54291097,17268660.759221546,3482660,1593980
p12,M678,VISal,M678_s075_VISal.tif,14036277,4468188.209520323,2206800,812800
p12,M678,VISal,M678_s076_VISal.tif,28724604,9760238.62036985,1022400,523200
p12,M678,VISam,M678_s057_VISam.tif,4220778,1465645.6746720406,411600,203600
p12,M678,VISam,M678_s058_VISam.tif,8196101,2770653.519461512,458640,227820
p12,M678,VISam,M678_s059_VISam.tif,16799431,5552112.092672555,1033600,458800
p12,M678,VISam,M678_s060_VISam.tif,10811213,3762070.5140438136,1429700,652060
p12,M678,VISam,M678_s061_VISam.tif,17042572,5602868.481920056,1368000,819600
p12,M678,VISam,M678_s062_VISam.tif,50601181,16401096.907445928,3565980,2484660
